2025-10-14T18:27:59:BEGIN: Retrieving audit records between 10/14/2024 18:27:59 and 10/14/2025 18:27:59, RecordType=CopilotInteraction, PageSize=.
2025-10-14T18:29:57:INFO: Retrieving audit records for activities performed between 12/21/2024 18:27:59 and 12/22/2024 18:27:59
2025-10-14T18:29:58:INFO: Retrieving audit records for activities performed between 12/22/2024 18:27:59 and 12/23/2024 18:27:59
2025-10-14T18:30:00:INFO: Retrieving audit records for activities performed between 12/23/2024 18:27:59 and 12/24/2024 18:27:59
2025-10-14T18:30:02:INFO: Retrieving audit records for activities performed between 12/24/2024 18:27:59 and 12/25/2024 18:27:59
2025-10-14T18:30:03:INFO: Retrieving audit records for activities performed between 12/25/2024 18:27:59 and 12/26/2024 18:27:59
2025-10-14T18:30:05:INFO: Retrieving audit records for activities performed between 12/26/2024 18:27:59 and 12/27/2024 18:27:59
2025-10-14T18:30:06:INFO: Retrieving audit records for activities performed between 12/27/2024 18:27:59 and 12/28/2024 18:27:59
2025-10-14T18:30:09:INFO: Retrieving audit records for activities performed between 12/28/2024 18:27:59 and 12/29/2024 18:27:59
2025-10-14T18:30:11:INFO: Retrieving audit records for activities performed between 12/29/2024 18:27:59 and 12/30/2024 18:27:59
2025-10-14T18:30:13:INFO: Retrieving audit records for activities performed between 12/30/2024 18:27:59 and 12/31/2024 18:27:59
2025-10-14T18:30:15:INFO: Retrieving audit records for activities performed between 12/31/2024 18:27:59 and 01/01/2025 18:27:59
2025-10-14T18:30:16:INFO: Retrieving audit records for activities performed between 01/01/2025 18:27:59 and 01/02/2025 18:27:59
2025-10-14T18:30:18:INFO: Retrieving audit records for activities performed between 01/02/2025 18:27:59 and 01/03/2025 18:27:59
2025-10-14T18:30:20:INFO: Retrieving audit records for activities performed between 01/03/2025 18:27:59 and 01/04/2025 18:27:59
2025-10-14T18:30:21:INFO: Retrieving audit records for activities performed between 01/04/2025 18:27:59 and 01/05/2025 18:27:59
2025-10-14T18:30:23:INFO: Retrieving audit records for activities performed between 01/05/2025 18:27:59 and 01/06/2025 18:27:59
2025-10-14T18:30:25:INFO: Retrieving audit records for activities performed between 01/06/2025 18:27:59 and 01/07/2025 18:27:59
2025-10-14T18:30:26:INFO: Retrieving audit records for activities performed between 01/07/2025 18:27:59 and 01/08/2025 18:27:59
2025-10-14T18:30:28:INFO: Retrieving audit records for activities performed between 01/08/2025 18:27:59 and 01/09/2025 18:27:59
2025-10-14T18:30:30:INFO: Retrieving audit records for activities performed between 01/09/2025 18:27:59 and 01/10/2025 18:27:59
2025-10-14T18:30:31:INFO: Retrieving audit records for activities performed between 01/10/2025 18:27:59 and 01/11/2025 18:27:59
2025-10-14T18:30:35:INFO: Retrieving audit records for activities performed between 01/11/2025 18:27:59 and 01/12/2025 18:27:59
2025-10-14T18:30:37:INFO: Retrieving audit records for activities performed between 01/12/2025 18:27:59 and 01/13/2025 18:27:59
2025-10-14T18:30:39:INFO: Retrieving audit records for activities performed between 01/13/2025 18:27:59 and 01/14/2025 18:27:59
2025-10-14T18:30:41:INFO: Retrieving audit records for activities performed between 01/14/2025 18:27:59 and 01/15/2025 18:27:59
2025-10-14T18:30:42:INFO: Retrieving audit records for activities performed between 01/15/2025 18:27:59 and 01/16/2025 18:27:59
2025-10-14T18:30:46:INFO: Retrieving audit records for activities performed between 01/16/2025 18:27:59 and 01/17/2025 18:27:59
2025-10-14T18:30:47:INFO: Retrieving audit records for activities performed between 01/17/2025 18:27:59 and 01/18/2025 18:27:59
2025-10-14T18:30:49:INFO: Retrieving audit records for activities performed between 01/18/2025 18:27:59 and 01/19/2025 18:27:59
2025-10-14T18:30:50:INFO: Retrieving audit records for activities performed between 01/19/2025 18:27:59 and 01/20/2025 18:27:59
2025-10-14T18:30:52:INFO: Retrieving audit records for activities performed between 01/20/2025 18:27:59 and 01/21/2025 18:27:59
2025-10-14T18:30:54:INFO: Retrieving audit records for activities performed between 01/21/2025 18:27:59 and 01/22/2025 18:27:59
2025-10-14T18:30:57:INFO: Retrieving audit records for activities performed between 01/22/2025 18:27:59 and 01/23/2025 18:27:59
2025-10-14T18:30:58:INFO: Retrieving audit records for activities performed between 01/23/2025 18:27:59 and 01/24/2025 18:27:59
2025-10-14T18:30:59:INFO: Retrieving audit records for activities performed between 01/24/2025 18:27:59 and 01/25/2025 18:27:59
2025-10-14T18:31:01:INFO: Retrieving audit records for activities performed between 01/25/2025 18:27:59 and 01/26/2025 18:27:59
2025-10-14T18:31:03:INFO: Retrieving audit records for activities performed between 01/26/2025 18:27:59 and 01/27/2025 18:27:59
2025-10-14T18:31:04:INFO: Retrieving audit records for activities performed between 01/27/2025 18:27:59 and 01/28/2025 18:27:59
2025-10-14T18:31:06:INFO: Retrieving audit records for activities performed between 01/28/2025 18:27:59 and 01/29/2025 18:27:59
2025-10-14T18:31:08:INFO: Retrieving audit records for activities performed between 01/29/2025 18:27:59 and 01/30/2025 18:27:59
2025-10-14T18:31:10:INFO: Retrieving audit records for activities performed between 01/30/2025 18:27:59 and 01/31/2025 18:27:59
2025-10-14T18:31:12:INFO: Retrieving audit records for activities performed between 01/31/2025 18:27:59 and 02/01/2025 18:27:59
2025-10-14T18:31:14:INFO: Retrieving audit records for activities performed between 02/01/2025 18:27:59 and 02/02/2025 18:27:59
2025-10-14T18:31:15:INFO: Retrieving audit records for activities performed between 02/02/2025 18:27:59 and 02/03/2025 18:27:59
2025-10-14T18:31:23:INFO: Retrieving audit records for activities performed between 02/03/2025 18:27:59 and 02/04/2025 18:27:59
2025-10-14T18:31:26:INFO: Retrieving audit records for activities performed between 02/04/2025 18:27:59 and 02/05/2025 18:27:59
2025-10-14T18:31:27:INFO: Retrieving audit records for activities performed between 02/05/2025 18:27:59 and 02/06/2025 18:27:59
2025-10-14T18:31:31:INFO: Retrieving audit records for activities performed between 02/06/2025 18:27:59 and 02/07/2025 18:27:59
2025-10-14T18:31:33:INFO: Retrieving audit records for activities performed between 02/07/2025 18:27:59 and 02/08/2025 18:27:59
2025-10-14T18:31:35:INFO: Retrieving audit records for activities performed between 02/08/2025 18:27:59 and 02/09/2025 18:27:59
2025-10-14T18:31:37:INFO: Retrieving audit records for activities performed between 02/09/2025 18:27:59 and 02/10/2025 18:27:59
2025-10-14T18:31:39:INFO: Retrieving audit records for activities performed between 02/10/2025 18:27:59 and 02/11/2025 18:27:59
2025-10-14T18:31:43:INFO: Retrieving audit records for activities performed between 02/11/2025 18:27:59 and 02/12/2025 18:27:59
2025-10-14T18:31:46:INFO: Retrieving audit records for activities performed between 02/12/2025 18:27:59 and 02/13/2025 18:27:59
2025-10-14T18:31:48:INFO: Retrieving audit records for activities performed between 02/13/2025 18:27:59 and 02/14/2025 18:27:59
2025-10-14T18:31:50:INFO: Retrieving audit records for activities performed between 02/14/2025 18:27:59 and 02/15/2025 18:27:59
2025-10-14T18:31:51:INFO: Retrieving audit records for activities performed between 02/15/2025 18:27:59 and 02/16/2025 18:27:59
2025-10-14T18:31:54:INFO: Retrieving audit records for activities performed between 02/16/2025 18:27:59 and 02/17/2025 18:27:59
2025-10-14T18:31:58:INFO: Retrieving audit records for activities performed between 02/17/2025 18:27:59 and 02/18/2025 18:27:59
2025-10-14T18:32:04:INFO: Retrieving audit records for activities performed between 02/18/2025 18:27:59 and 02/19/2025 18:27:59
2025-10-14T18:32:09:INFO: Retrieving audit records for activities performed between 02/19/2025 18:27:59 and 02/20/2025 18:27:59
2025-10-14T18:32:10:INFO: Retrieving audit records for activities performed between 02/20/2025 18:27:59 and 02/21/2025 18:27:59
2025-10-14T18:32:12:INFO: Retrieving audit records for activities performed between 02/21/2025 18:27:59 and 02/22/2025 18:27:59
2025-10-14T18:32:14:INFO: Retrieving audit records for activities performed between 02/22/2025 18:27:59 and 02/23/2025 18:27:59
2025-10-14T18:32:16:INFO: Retrieving audit records for activities performed between 02/23/2025 18:27:59 and 02/24/2025 18:27:59
2025-10-14T18:32:18:INFO: Retrieving audit records for activities performed between 02/24/2025 18:27:59 and 02/25/2025 18:27:59
2025-10-14T18:32:20:INFO: Retrieving audit records for activities performed between 02/25/2025 18:27:59 and 02/26/2025 18:27:59
2025-10-14T18:32:22:INFO: Retrieving audit records for activities performed between 02/26/2025 18:27:59 and 02/27/2025 18:27:59
2025-10-14T18:32:23:INFO: Retrieving audit records for activities performed between 02/27/2025 18:27:59 and 02/28/2025 18:27:59
2025-10-14T18:32:24:INFO: Retrieving audit records for activities performed between 02/28/2025 18:27:59 and 03/01/2025 18:27:59
2025-10-14T18:32:26:INFO: Retrieving audit records for activities performed between 03/01/2025 18:27:59 and 03/02/2025 18:27:59
2025-10-14T18:32:27:INFO: Retrieving audit records for activities performed between 03/02/2025 18:27:59 and 03/03/2025 18:27:59
2025-10-14T18:32:28:INFO: Retrieving audit records for activities performed between 03/03/2025 18:27:59 and 03/04/2025 18:27:59
2025-10-14T18:32:30:INFO: Retrieving audit records for activities performed between 03/04/2025 18:27:59 and 03/05/2025 18:27:59
2025-10-14T18:32:31:INFO: Retrieving audit records for activities performed between 03/05/2025 18:27:59 and 03/06/2025 18:27:59
2025-10-14T18:32:34:INFO: Retrieving audit records for activities performed between 03/06/2025 18:27:59 and 03/07/2025 18:27:59
2025-10-14T18:32:35:INFO: Retrieving audit records for activities performed between 03/07/2025 18:27:59 and 03/08/2025 18:27:59
2025-10-14T18:32:37:INFO: Retrieving audit records for activities performed between 03/08/2025 18:27:59 and 03/09/2025 18:27:59
2025-10-14T18:32:38:INFO: Retrieving audit records for activities performed between 03/09/2025 18:27:59 and 03/10/2025 18:27:59
2025-10-14T18:32:41:INFO: Retrieving audit records for activities performed between 03/10/2025 18:27:59 and 03/11/2025 18:27:59
2025-10-14T18:32:43:INFO: Retrieving audit records for activities performed between 03/11/2025 18:27:59 and 03/12/2025 18:27:59
2025-10-14T18:32:44:INFO: Retrieving audit records for activities performed between 03/12/2025 18:27:59 and 03/13/2025 18:27:59
2025-10-14T18:32:45:INFO: Retrieving audit records for activities performed between 03/13/2025 18:27:59 and 03/14/2025 18:27:59
2025-10-14T18:32:47:INFO: Retrieving audit records for activities performed between 03/14/2025 18:27:59 and 03/15/2025 18:27:59
2025-10-14T18:32:48:INFO: Retrieving audit records for activities performed between 03/15/2025 18:27:59 and 03/16/2025 18:27:59
2025-10-14T18:32:51:INFO: Retrieving audit records for activities performed between 03/16/2025 18:27:59 and 03/17/2025 18:27:59
2025-10-14T18:32:52:INFO: Retrieving audit records for activities performed between 03/17/2025 18:27:59 and 03/18/2025 18:27:59
2025-10-14T18:32:54:INFO: Retrieving audit records for activities performed between 03/18/2025 18:27:59 and 03/19/2025 18:27:59
2025-10-14T18:32:55:INFO: Retrieving audit records for activities performed between 03/19/2025 18:27:59 and 03/20/2025 18:27:59
2025-10-14T18:32:57:INFO: Retrieving audit records for activities performed between 03/20/2025 18:27:59 and 03/21/2025 18:27:59
2025-10-14T18:32:58:INFO: Retrieving audit records for activities performed between 03/21/2025 18:27:59 and 03/22/2025 18:27:59
2025-10-14T18:33:00:INFO: Retrieving audit records for activities performed between 03/22/2025 18:27:59 and 03/23/2025 18:27:59
2025-10-14T18:33:02:INFO: Retrieving audit records for activities performed between 03/23/2025 18:27:59 and 03/24/2025 18:27:59
2025-10-14T18:33:04:INFO: Retrieving audit records for activities performed between 03/24/2025 18:27:59 and 03/25/2025 18:27:59
2025-10-14T18:33:05:INFO: Retrieving audit records for activities performed between 03/25/2025 18:27:59 and 03/26/2025 18:27:59
2025-10-14T18:33:07:INFO: Retrieving audit records for activities performed between 03/26/2025 18:27:59 and 03/27/2025 18:27:59
2025-10-14T18:33:09:INFO: Retrieving audit records for activities performed between 03/27/2025 18:27:59 and 03/28/2025 18:27:59
2025-10-14T18:33:11:INFO: Retrieving audit records for activities performed between 03/28/2025 18:27:59 and 03/29/2025 18:27:59
2025-10-14T18:33:13:INFO: Retrieving audit records for activities performed between 03/29/2025 18:27:59 and 03/30/2025 18:27:59
2025-10-14T18:33:15:INFO: Retrieving audit records for activities performed between 03/30/2025 18:27:59 and 03/31/2025 18:27:59
2025-10-14T18:33:17:INFO: Retrieving audit records for activities performed between 03/31/2025 18:27:59 and 04/01/2025 18:27:59
2025-10-14T18:33:18:INFO: Retrieving audit records for activities performed between 04/01/2025 18:27:59 and 04/02/2025 18:27:59
2025-10-14T18:33:20:INFO: Retrieving audit records for activities performed between 04/02/2025 18:27:59 and 04/03/2025 18:27:59
2025-10-14T18:33:22:INFO: Retrieving audit records for activities performed between 04/03/2025 18:27:59 and 04/04/2025 18:27:59
2025-10-14T18:33:23:INFO: Retrieving audit records for activities performed between 04/04/2025 18:27:59 and 04/05/2025 18:27:59
2025-10-14T18:33:26:INFO: Retrieving audit records for activities performed between 04/05/2025 18:27:59 and 04/06/2025 18:27:59
2025-10-14T18:33:27:INFO: Retrieving audit records for activities performed between 04/06/2025 18:27:59 and 04/07/2025 18:27:59
2025-10-14T18:33:29:INFO: Retrieving audit records for activities performed between 04/07/2025 18:27:59 and 04/08/2025 18:27:59
2025-10-14T18:33:30:INFO: Retrieving audit records for activities performed between 04/08/2025 18:27:59 and 04/09/2025 18:27:59
2025-10-14T18:33:32:INFO: Retrieving audit records for activities performed between 04/09/2025 18:27:59 and 04/10/2025 18:27:59
2025-10-14T18:33:34:INFO: Retrieving audit records for activities performed between 04/10/2025 18:27:59 and 04/11/2025 18:27:59
2025-10-14T18:33:36:INFO: Retrieving audit records for activities performed between 04/11/2025 18:27:59 and 04/12/2025 18:27:59
2025-10-14T18:33:38:INFO: Retrieving audit records for activities performed between 04/12/2025 18:27:59 and 04/13/2025 18:27:59
2025-10-14T18:33:40:INFO: Retrieving audit records for activities performed between 04/13/2025 18:27:59 and 04/14/2025 18:27:59
2025-10-14T18:33:41:INFO: Retrieving audit records for activities performed between 04/14/2025 18:27:59 and 04/15/2025 18:27:59
2025-10-14T18:33:43:INFO: Retrieving audit records for activities performed between 04/15/2025 18:27:59 and 04/16/2025 18:27:59
2025-10-14T18:33:45:INFO: Retrieving audit records for activities performed between 04/16/2025 18:27:59 and 04/17/2025 18:27:59
2025-10-14T18:33:46:INFO: Retrieving audit records for activities performed between 04/17/2025 18:27:59 and 04/18/2025 18:27:59
2025-10-14T18:33:48:INFO: Retrieving audit records for activities performed between 04/18/2025 18:27:59 and 04/19/2025 18:27:59
2025-10-14T18:33:49:INFO: Retrieving audit records for activities performed between 04/19/2025 18:27:59 and 04/20/2025 18:27:59
2025-10-14T18:33:50:INFO: Retrieving audit records for activities performed between 04/20/2025 18:27:59 and 04/21/2025 18:27:59
2025-10-14T18:33:52:INFO: Retrieving audit records for activities performed between 04/21/2025 18:27:59 and 04/22/2025 18:27:59
2025-10-14T18:33:53:INFO: Retrieving audit records for activities performed between 04/22/2025 18:27:59 and 04/23/2025 18:27:59
2025-10-14T18:33:54:INFO: Retrieving audit records for activities performed between 04/23/2025 18:27:59 and 04/24/2025 18:27:59
2025-10-14T18:33:56:INFO: Retrieving audit records for activities performed between 04/24/2025 18:27:59 and 04/25/2025 18:27:59
2025-10-14T18:33:57:INFO: Retrieving audit records for activities performed between 04/25/2025 18:27:59 and 04/26/2025 18:27:59
2025-10-14T18:34:00:INFO: Retrieving audit records for activities performed between 04/26/2025 18:27:59 and 04/27/2025 18:27:59
2025-10-14T18:34:01:INFO: Retrieving audit records for activities performed between 04/27/2025 18:27:59 and 04/28/2025 18:27:59
2025-10-14T18:34:02:INFO: Retrieving audit records for activities performed between 04/28/2025 18:27:59 and 04/29/2025 18:27:59
2025-10-14T18:34:04:INFO: Retrieving audit records for activities performed between 04/29/2025 18:27:59 and 04/30/2025 18:27:59
2025-10-14T18:34:05:INFO: Retrieving audit records for activities performed between 04/30/2025 18:27:59 and 05/01/2025 18:27:59
2025-10-14T18:34:06:INFO: Retrieving audit records for activities performed between 05/01/2025 18:27:59 and 05/02/2025 18:27:59
2025-10-14T18:34:08:INFO: Retrieving audit records for activities performed between 05/02/2025 18:27:59 and 05/03/2025 18:27:59
2025-10-14T18:34:09:INFO: Retrieving audit records for activities performed between 05/03/2025 18:27:59 and 05/04/2025 18:27:59
2025-10-14T18:34:12:INFO: Retrieving audit records for activities performed between 05/04/2025 18:27:59 and 05/05/2025 18:27:59
2025-10-14T18:34:13:INFO: Retrieving audit records for activities performed between 05/05/2025 18:27:59 and 05/06/2025 18:27:59
2025-10-14T18:34:14:INFO: Retrieving audit records for activities performed between 05/06/2025 18:27:59 and 05/07/2025 18:27:59
2025-10-14T18:34:15:INFO: Retrieving audit records for activities performed between 05/07/2025 18:27:59 and 05/08/2025 18:27:59
2025-10-14T18:34:17:INFO: Retrieving audit records for activities performed between 05/08/2025 18:27:59 and 05/09/2025 18:27:59
2025-10-14T18:34:18:INFO: Retrieving audit records for activities performed between 05/09/2025 18:27:59 and 05/10/2025 18:27:59
2025-10-14T18:34:20:INFO: Retrieving audit records for activities performed between 05/10/2025 18:27:59 and 05/11/2025 18:27:59
2025-10-14T18:34:21:INFO: Retrieving audit records for activities performed between 05/11/2025 18:27:59 and 05/12/2025 18:27:59
2025-10-14T18:34:24:INFO: Retrieving audit records for activities performed between 05/12/2025 18:27:59 and 05/13/2025 18:27:59
2025-10-14T18:34:25:INFO: Retrieving audit records for activities performed between 05/13/2025 18:27:59 and 05/14/2025 18:27:59
2025-10-14T18:34:26:INFO: Retrieving audit records for activities performed between 05/14/2025 18:27:59 and 05/15/2025 18:27:59
2025-10-14T18:34:30:INFO: Retrieving audit records for activities performed between 05/15/2025 18:27:59 and 05/16/2025 18:27:59
2025-10-14T18:34:31:INFO: Retrieving audit records for activities performed between 05/16/2025 18:27:59 and 05/17/2025 18:27:59
2025-10-14T18:34:33:INFO: Retrieving audit records for activities performed between 05/17/2025 18:27:59 and 05/18/2025 18:27:59
2025-10-14T18:34:36:INFO: Retrieving audit records for activities performed between 05/18/2025 18:27:59 and 05/19/2025 18:27:59
2025-10-14T18:34:37:INFO: Retrieving audit records for activities performed between 05/19/2025 18:27:59 and 05/20/2025 18:27:59
2025-10-14T18:34:38:INFO: Retrieving audit records for activities performed between 05/20/2025 18:27:59 and 05/21/2025 18:27:59
2025-10-14T18:34:39:INFO: Retrieving audit records for activities performed between 05/21/2025 18:27:59 and 05/22/2025 18:27:59
2025-10-14T18:34:41:INFO: Retrieving audit records for activities performed between 05/22/2025 18:27:59 and 05/23/2025 18:27:59
2025-10-14T18:34:42:INFO: Retrieving audit records for activities performed between 05/23/2025 18:27:59 and 05/24/2025 18:27:59
2025-10-14T18:34:44:INFO: Retrieving audit records for activities performed between 05/24/2025 18:27:59 and 05/25/2025 18:27:59
2025-10-14T18:34:45:INFO: Retrieving audit records for activities performed between 05/25/2025 18:27:59 and 05/26/2025 18:27:59
2025-10-14T18:34:48:INFO: Retrieving audit records for activities performed between 05/26/2025 18:27:59 and 05/27/2025 18:27:59
2025-10-14T18:34:51:INFO: Retrieving audit records for activities performed between 05/27/2025 18:27:59 and 05/28/2025 18:27:59
2025-10-14T18:34:53:INFO: Retrieving audit records for activities performed between 05/28/2025 18:27:59 and 05/29/2025 18:27:59
2025-10-14T18:34:57:INFO: Retrieved 2 audit records out of the total 6
2025-10-14T18:34:59:INFO: Retrieving audit records for activities performed between 05/29/2025 18:27:59 and 05/30/2025 18:27:59
2025-10-14T18:35:01:INFO: Retrieving audit records for activities performed between 05/30/2025 18:27:59 and 05/31/2025 18:27:59
2025-10-14T18:35:02:INFO: Retrieving audit records for activities performed between 05/31/2025 18:27:59 and 06/01/2025 18:27:59
